City,Mean grade %,P95 grade %,Max grade %,% edges grade>5%,N trips evaluated,Mean carbon savings %,Max carbon savings %,% identical paths,Mean time penalty %
Washington DC,4.71,14.42,74.03,33.5,200,2.14,23.05,40.0,2.06
San Francisco,4.26,12.28,37.92,31.8,200,3.97,23.32,30.5,3.67
