trip_id,start,dest,dijkstra_fastest_time_s,dijkstra_fastest_carbon_g,dijkstra_greenest_time_s,dijkstra_greenest_carbon_g,ppo_fastest_time_s,ppo_fastest_carbon_g,ppo_fastest_success,ppo_time_biased_time_s,ppo_time_biased_carbon_g,ppo_time_biased_success,ppo_balanced_time_s,ppo_balanced_carbon_g,ppo_balanced_success,ppo_carbon_biased_time_s,ppo_carbon_biased_carbon_g,ppo_carbon_biased_success,ppo_greenest_time_s,ppo_greenest_carbon_g,ppo_greenest_success
1,49780329,49800308,358.61453268344246,1293.5430677815186,358.61453268344246,1293.5430677815186,,,False,,,False,,,False,,,False,,,False
2,3027616084,642586839,261.5869375451399,1147.9294514695066,261.5869375451399,1147.9294514695066,,,False,,,False,,,False,,,False,,,False
3,49809789,641116271,562.3054250652582,2260.191679574392,562.3054250652582,2260.191679574392,,,False,,,False,,,False,,,False,,,False
4,641116190,49825128,177.6186937895802,640.1689489872829,181.89616254250683,608.5979236350191,,,False,,,False,,,False,,,False,,,False
5,3013359771,49824754,554.7285554284834,2359.040897902401,562.1257184644966,2305.5873287168342,,,False,,,False,572.7373952658752,2632.731686220236,True,,,False,,,False
6,3378222917,49748177,136.34796534343707,667.0791392087605,156.81221266185634,615.2280378693827,,,False,,,False,,,False,136.44533638972462,658.5737077824102,True,,,False
7,49839654,49877985,741.3054398873173,2772.814232018575,741.3054398873173,2772.814232018575,,,False,,,False,,,False,,,False,,,False
8,49759112,49853703,307.0689194084446,1062.6782555001657,307.0689194084446,1062.6782555001657,,,False,,,False,,,False,,,False,,,False
9,1379471232,49774966,169.58394606354778,771.813601045401,172.4637729391779,731.8121600639671,,,False,,,False,,,False,,,False,171.23573664845858,740.5957554238892,True
10,642818418,49775537,629.6805120758731,2576.7430362511727,651.2300555548569,2553.8456088729918,,,False,,,False,,,False,,,False,,,False
11,49858569,641116230,320.31804612398753,1511.6895613372526,334.8724960460379,1365.9490040399605,364.81762458564765,1605.2304682969616,True,,,False,334.8724960460379,1365.9490040399605,True,411.84305538343636,1784.5021434764424,True,,,False
12,49844812,643388774,1062.2876882796763,4218.629984212651,1062.8407402563964,4207.529288760093,,,False,,,False,,,False,1092.0565750317307,4645.152932771607,True,1062.8407402563964,4207.529288760093,True
13,49758552,1796371546,207.2405855225762,883.3665914858973,207.2405855225762,883.3665914858973,207.2405855225762,883.3665914858973,True,,,False,,,False,,,False,208.4541169841213,907.6450547258778,True
14,49809266,49764348,303.37540548347914,985.2331011588493,316.3304482712108,947.8730838320057,,,False,,,False,,,False,,,False,,,False
15,5993559716,49813441,102.82381916763327,386.3319789207598,102.82381916763327,386.3319789207598,,,False,102.85564518282135,398.2409420546233,True,,,False,102.82381916763327,386.3319789207598,True,,,False
16,49877985,644542318,641.7499600799401,2424.5664283466276,641.7499600799401,2424.5664283466276,754.1751685269705,2810.3361927349606,True,,,False,683.2762377022068,2706.2836685746524,True,641.7499600799401,2424.5664283466276,True,714.4690611838629,2709.2462193640877,True
17,641116184,49762379,293.3443618439794,1220.678483095236,303.54426819844343,1194.3801295711924,,,False,,,False,361.4592894770131,1521.591858848466,True,,,False,,,False
18,49853696,655247774,455.2305843856857,1690.1883940310802,457.5832826664069,1679.5716691899452,,,False,,,False,,,False,,,False,,,False
19,49765083,11263106392,464.04542161220434,1677.100857306161,468.6051026182143,1656.3925711589227,,,False,,,False,,,False,615.9010307588916,2234.3579588914054,True,563.482303235415,2072.72784814257,True
20,49717370,49748395,352.09236800931575,1396.5927765135586,355.4676118096755,1384.0387082156542,,,False,355.4676118096755,1384.0387082156542,True,352.09236800931575,1396.5927765135586,True,352.09236800931575,1396.5927765135586,True,355.4676118096755,1384.0387082156542,True
21,626105035,49776137,259.2955127441055,979.9452353508614,259.2955127441055,979.9452353508614,,,False,,,False,,,False,,,False,,,False
22,49731509,1379495810,492.68531547532973,1919.5113877298527,492.68531547532973,1919.5113877298527,,,False,,,False,,,False,,,False,,,False
23,2899430519,655247774,215.59500701746344,980.7628594154282,216.36163369750727,964.5218730635679,,,False,,,False,,,False,,,False,,,False
24,8245233135,49801203,450.97275391220325,1867.5634115307853,452.0866966928833,1867.1516900091187,,,False,546.9045909472635,2236.5224850350905,True,478.70791490693273,2304.706159046915,True,,,False,,,False
25,49797579,49761370,289.83295900643583,1149.6369159584192,291.2086415231915,1138.172767573408,,,False,313.4628256885499,1209.2941588606627,True,,,False,,,False,,,False
26,49824754,49775534,589.6560362191054,2300.5863451878367,589.6560362191054,2300.5863451878367,,,False,,,False,,,False,,,False,,,False
27,49810831,49775563,251.26344934734627,1037.7590568194223,253.89035915292112,973.6523642300585,,,False,,,False,,,False,,,False,,,False
28,49720590,49773595,732.7474150832218,3294.738004244988,833.0994485503232,3239.1018646511197,,,False,,,False,,,False,,,False,,,False
29,8427531401,49780078,559.7238726241332,2456.9501470527766,562.350782429708,2392.8434544634124,,,False,704.5385097866089,3094.6338894477053,True,,,False,,,False,,,False
30,3010914572,49748690,162.77260951359708,569.1951432507769,162.77260951359708,569.1951432507769,,,False,,,False,,,False,,,False,,,False
31,49734130,49870944,486.7075889204325,1846.0157477062382,491.8490211838812,1833.2222622339757,,,False,,,False,518.2416116419212,1936.221587021462,True,490.45733845778403,1834.4132405636008,True,491.8490211838812,1833.2222622339757,True
32,49770670,3007042426,586.6432053440576,2353.463580535279,628.9340980861805,2254.1307569523356,,,False,,,False,655.7259639094979,2502.529355252852,True,714.7018541665661,2816.3711503863133,True,651.6762846668445,2494.0123273730205,True
33,10981934323,49741725,945.2656831551232,3991.015553475801,945.2656831551232,3991.015553475801,,,False,,,False,,,False,,,False,,,False
34,49745289,3011478356,742.4812779439403,2635.7096481200533,759.2792253375726,2620.5582818914418,789.2980127085921,2790.547009256273,True,,,False,749.5828620417559,2665.013309002672,True,,,False,,,False
35,49787913,49793670,342.8265899611939,1256.6200707583646,342.8265899611939,1256.6200707583646,362.7957095363261,1346.448588321169,True,342.8265899611939,1256.6200707583646,True,342.8265899611939,1256.6200707583646,True,373.5573936848962,1358.5074079526842,True,,,False
36,49871713,49845782,282.59376019918625,1091.427188721501,282.59376019918625,1091.427188721501,282.59376019918625,1091.427188721501,True,,,False,282.59376019918625,1091.427188721501,True,,,False,,,False
37,4001510836,49741287,556.1552966329535,2460.357435766225,556.1552966329535,2460.357435766225,586.7425621055302,2494.2958281921174,True,,,False,,,False,,,False,,,False
38,49822904,49745193,570.0278161297341,2206.071212336913,574.0789190319928,2195.8238688222405,,,False,629.281114853364,2417.9761697376234,True,,,False,638.2116473667298,2519.3435465544576,True,605.27875649538,2339.11149316759,True
39,641127608,49809228,448.5776109996063,1668.9020788503346,448.5776109996063,1668.9020788503346,,,False,,,False,,,False,,,False,,,False
